node,total_message,total_messages_each_node,frequency,outcome
14,1,1,100.0,1
6,2,1,50.0,1
17,3,1,33.33333333333333,1
14,4,2,50.0,1
19,5,1,20.0,1
10,6,1,16.666666666666664,1
20,7,1,14.285714285714285,1
14,8,3,37.5,1
4,9,1,11.11111111111111,1
19,10,2,20.0,1
2,11,1,9.090909090909092,1
18,12,1,8.333333333333332,1
16,13,1,7.6923076923076925,1
6,14,2,14.285714285714285,1
18,15,2,13.333333333333334,1
17,16,2,12.5,1
3,17,1,5.88235294117647,1
11,18,1,5.555555555555555,1
15,19,1,5.263157894736842,1
8,20,1,5.0,1
11,21,2,9.523809523809524,1
19,22,3,13.636363636363635,1
6,23,3,13.043478260869565,1
12,24,1,4.166666666666666,0
13,25,1,4.0,0
20,26,2,7.6923076923076925,1
16,27,2,7.4074074074074066,1
3,28,2,7.142857142857142,1
20,29,3,10.344827586206897,1
19,30,4,13.333333333333334,1
14,31,4,12.903225806451612,1
8,32,2,6.25,1
16,33,3,9.090909090909092,1
11,34,3,8.823529411764707,1
16,35,4,11.428571428571429,1
17,36,3,8.333333333333332,1
9,37,1,2.7027027027027026,0
10,38,2,5.263157894736842,1
18,39,3,7.6923076923076925,1
9,40,2,5.0,1
14,41,5,12.195121951219512,1
19,42,5,11.904761904761903,1
16,43,5,11.627906976744185,1
19,44,6,13.636363636363635,1
19,45,7,15.555555555555555,1
20,46,4,8.695652173913043,1
2,47,2,4.25531914893617,0
14,48,6,12.5,1
17,49,4,8.16326530612245,1
16,50,6,12.0,1
7,51,1,1.9607843137254901,0
18,52,4,7.6923076923076925,1
20,53,5,9.433962264150944,1
10,54,3,5.555555555555555,1
17,55,5,9.090909090909092,1
8,56,3,5.357142857142857,1
18,57,5,8.771929824561402,1
18,58,6,10.344827586206897,1
19,59,8,13.559322033898304,1
18,60,7,11.666666666666666,1
16,61,7,11.475409836065573,1
16,62,8,12.903225806451612,1
6,63,4,6.349206349206349,1
16,64,9,14.0625,1
11,65,4,6.153846153846154,1
18,66,8,12.121212121212121,1
20,67,6,8.955223880597014,1
13,68,2,2.941176470588235,0
10,69,4,5.797101449275362,1
18,70,9,12.857142857142856,1
18,71,10,14.084507042253522,1
15,72,2,2.7777777777777777,0
13,73,3,4.10958904109589,0
17,74,6,8.108108108108109,1
6,75,5,6.666666666666667,1
16,76,10,13.157894736842104,1
18,77,11,14.285714285714285,1
17,78,7,8.974358974358974,1
4,79,2,2.5316455696202533,0
17,80,8,10.0,1
18,81,12,14.814814814814813,1
20,82,7,8.536585365853659,1
16,83,11,13.253012048192772,1
